review_id,product,category,rating,review_text,review_clean,word_count,sentiment,label,is_defective
REV_00001,LG 24MK400H,Monitor,5,"Superó mis expectativas, muy buen rendimiento.",superó mis expectativas muy buen rendimiento,6,positive,0,0
REV_00002,HP LaserJet Pro M15w,Impresora,1,"Producto con fallas evidentes, parece ser un lote defectuoso.",producto con fallas evidentes parece ser un lote defectuoso,9,negative,1,1
REV_00003,Kingston Fury Beast 16GB,Memoria RAM,4,"Superó mis expectativas, muy buen rendimiento.",superó mis expectativas muy buen rendimiento,6,positive,0,0
REV_00004,Intel Core i3-13100,Procesador,4,"Muy contento con el producto, funciona como se describe.",muy contento con el producto funciona como se describe,9,positive,0,0
REV_00005,Corsair Vengeance 8GB,Memoria RAM,5,"Excelente producto, funciona perfectamente desde el primer día.",excelente producto funciona perfectamente desde el primer día,8,positive,0,0
REV_00006,Xerox Phaser 7100,Impresora,4,"Superó mis expectativas, muy buen rendimiento.",superó mis expectativas muy buen rendimiento,6,positive,0,0
REV_00007,NVIDIA GTX 1660,Tarjeta de Video,4,"Funciona perfectamente, muy satisfecho con la compra.",funciona perfectamente muy satisfecho con la compra,7,positive,0,0
REV_00008,MSI RX 580,Tarjeta de Video,4,"Excelente desempeño, sin ningún problema hasta ahora.",excelente desempeño sin ningún problema hasta ahora,7,positive,0,0
REV_00009,Intel Core i5-12400,Procesador,3,"Ni muy bueno ni muy malo, hace lo que promete.",ni muy bueno ni muy malo hace lo que promete,10,neutral,0,0
REV_00010,Acer Aspire 5,Laptop,5,"Calidad premium, vale cada centavo invertido.",calidad premium vale cada centavo invertido,6,positive,0,0
REV_00011,Epson EcoTank L3250,Impresora,4,"Producto de alta calidad, entrega rápida y sin problemas.",producto de alta calidad entrega rápida y sin problemas,9,positive,0,0
REV_00012,Lenovo ThinkPad T14,Laptop,3,"Ni muy bueno ni muy malo, hace lo que promete.",ni muy bueno ni muy malo hace lo que promete,10,neutral,0,0
REV_00013,ASUS GTX 1650,Tarjeta de Video,2,Llegó con la pantalla rayada y el hardware fallando.,llegó con la pantalla rayada y el hardware fallando,9,negative,1,0
REV_00014,GIGABYTE RTX 3060,Tarjeta de Video,5,"Muy buena calidad, lo recomiendo ampliamente.",muy buena calidad lo recomiendo ampliamente,6,positive,0,0
REV_00015,AMD Ryzen 5 5600,Procesador,4,Llegó en perfecto estado y funciona de maravilla.,llegó en perfecto estado y funciona de maravilla,8,positive,0,0
REV_00016,Crucial Ballistix 32GB,Memoria RAM,4,"Funciona perfectamente, muy satisfecho con la compra.",funciona perfectamente muy satisfecho con la compra,7,positive,0,0
REV_00017,Lenovo ThinkPad T14,Laptop,2,El lote que recibí tiene problemas graves de fabricación.,el lote que recibí tiene problemas graves de fabricación,9,negative,1,1
REV_00018,NVIDIA GTX 1660,Tarjeta de Video,5,"Superó mis expectativas, muy buen rendimiento.",superó mis expectativas muy buen rendimiento,6,positive,0,0
REV_00019,GIGABYTE G27FC,Monitor,5,Llegó en perfecto estado y funciona de maravilla.,llegó en perfecto estado y funciona de maravilla,8,positive,0,0
REV_00020,AMD RX 6600,Tarjeta de Video,5,"Calidad premium, vale cada centavo invertido.",calidad premium vale cada centavo invertido,6,positive,0,0
REV_00021,ADATA XPG 8GB,Memoria RAM,4,Llegó en perfecto estado y funciona de maravilla.,llegó en perfecto estado y funciona de maravilla,8,positive,0,0
REV_00022,AMD Ryzen 7 3700X,Procesador,4,"Muy buena calidad, lo recomiendo ampliamente.",muy buena calidad lo recomiendo ampliamente,6,positive,0,0
REV_00023,HP LaserJet Pro M15w,Impresora,2,"Producto con fallas evidentes, parece ser un lote defectuoso.",producto con fallas evidentes parece ser un lote defectuoso,9,negative,1,1
